Variable,MAD_Window,Median_Window,Rule1,Rule2,Rule3,Rule4
temp,40,3,w > 5,x<=0,x>=100,!is.finite(x)
specCond,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
pH,40,3,w > 5,x<=1,x>=14,!is.finite(x)
chlor_ugL,40,5,w > 10,is.na(x),is.na(x),!is.finite(x)
chlor_RFU,40,5,w > 10,is.na(x),is.na(x),!is.finite(x)
ODO_percent,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
ODO_mgL,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
BGApc_RFU,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
BGApc_ugL,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
turb_FNU,20,3,w > 5,is.na(x),is.na(x),!is.finite(x)
fDOM_RFU,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
fDOM_QSU,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
CH4,40,3,w > 5,x<=0.1,x>=10000,!is.finite(x)
CO2,40,3,w > 5,x<=1,x>=30000,!is.finite(x)
CH4_Dry,40,3,w > 3,x<=.1,x>=10000,!is.finite(x)
CO2_Dry,40,3,w > 3,x<=1,x>=30000,!is.finite(x)
no3_uM,100,15,w > 7,x<= (-1),is.na(x),!is.finite(x)
nn03_mg,100,15,w > 7,x<= (-0.1),is.na(x),!is.finite(x)
abs254,100,15,w > 7,is.na(x),x>=20,!is.finite(x)
abs350,100,15,w > 7,is.na(x),x>=20,!is.finite(x)
temp_hyd,40,3,w > 5,x<=0,x>=100,!is.finite(x)
temp_tau,20,3,w > 3,x<=0,x>100,!is.finite(x)
specCond_hyd,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
specCond_tau,25,3,w > 3,x<=0,is.na(x),!is.finite(x)
pH_hyd,40,3,w > 5,x<=1,x>=14,!is.finite(x)
pH_tau,20,4,w > 2.75,x<=1,x>=14,!is.finite(x)
chlor_ugL_hyd,40,5,w > 10,is.na(x),is.na(x),!is.finite(x)
chlor_ugL_tau,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
chlor_RFU_hyd,40,5,w > 10,is.na(x),is.na(x),!is.finite(x)
chlor_RFU_tau,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
ODO_percent_hyd,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
ODO_percent_tau,60,3,w > 5,x<=0,is.na(x),!is.finite(x)
ODO_mgL_hyd,40,3,w > 5,x<=0,is.na(x),!is.finite(x)
ODO_mgL_tau,60,3,w > 5,x<=0,is.na(x),!is.finite(x)
BGApc_RFU_hyd,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
BGApc_RFU_tau,30,4,w > 3,is.na(x),is.na(x),!is.finite(x)
BGApc_ugL_hyd,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
BGApc_ugL_tau,30,4,w > 3,is.na(x),is.na(x),!is.finite(x)
turb_FNU_hyd,20,3,w > 5,is.na(x),is.na(x),!is.finite(x)
turb_FNU_tau,20,3,w > 5,is.na(x),is.na(x),!is.finite(x)
fDOM_RFU_hyd,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
fDOM_RFU_tau,40,3,w > 5,is.na(x),is.na(x),!is.finite(x)
fDOM_QSU_hyd,40,3,w > 7,is.na(x),is.na(x),!is.finite(x)
fDOM_QSU_tau,40,3,w > 5,is.na(x),is.na(x),!is.finite(x)
CH4_Dry_hyd,40,3,w > 5,x<=0.1,x>=10000,!is.finite(x)
CH4_Dry_tau,40,3,w > 3,x<=0.1,x>=10000,!is.finite(x)
CO2_Dry_hyd,40,3,w > 5,x<=1,x>=10000,!is.finite(x)
CO2_Dry_tau,40,3,w > 3,x<=1,x>=10000,!is.finite(x)
CH4_hyd,40,3,w > 5,x<=0.1,x>=10000,!is.finite(x)
CH4_tau,40,3,w > 3,x<=0.1,x>=10000,!is.finite(x)
CO2_hyd,40,3,w > 5,x<=1,x>=10000,!is.finite(x)
CO2_tau,40,3,w > 3,x<=1,x>=10000,!is.finite(x)
CO2uM,40,3,w > 5,x<=0.1,is.na(x),!is.finite(x)
CH4uM,40,3,w > 5,x<=0.0001,is.na(x),!is.finite(x)
CO2Sat,40,3,w > 5,x<=1,is.na(x),!is.finite(x)
CH4Sat,40,3,w > 5,x<=1,is.na(x),!is.finite(x)
CO2uM_hyd,40,3,w > 5,x<=0.1,is.na(x),!is.finite(x)
CH4uM_hyd,40,3,w > 5,x<=0.0001,is.na(x),!is.finite(x)
CO2Sat_hyd,40,3,w > 5,x<=1,is.na(x),!is.finite(x)
CH4Sat_hyd,40,3,w > 5,x<=1,is.na(x),!is.finite(x)
CO2uM_tau,40,3,w > 3,x<=0.1,is.na(x),!is.finite(x)
CH4uM_tau,40,3,w > 3,x<=0.0001,is.na(x),!is.finite(x)
CO2Sat_tau,40,3,w > 3,x<=1,is.na(x),!is.finite(x)
CH4Sat_tau,40,3,w > 3,x<=1,is.na(x),!is.finite(x)
